npsn,nama_sekolah,alamat,kecamatan,jumlah_siswa,jumlah_guru,kepala_sekolah,telepon,kondisi_lingkungan,akreditasi
2.0101007E7,SDN Kamal Muara 02 Pg.,Jl. Kamal Pantai No. 5,Penjaringan,417.0,15.0,Suhardi,(021) 5555570,Baik,A
2.0104571E7,SDN Kampung Bali 01 Pg.,Jl. Jatibaru Raya No. 10,Tanah Abang,165.0,10.0,Ishak,(021) 3155345,Padat/Kumuh,B
2.0104572E7,SDN Kampung Bali 02 Pt.,Jl. Jati Baru No. 10,Tanah Abang,150.0,9.0,"Dra. Eti Herawati, M.Pd",(021) 3917880,Padat/Kumuh,B
2.0104573E7,SDN Kampung Bali 03 Pg.,Jl. Hati Suci No. 7,Tanah Abang,245.0,13.0,"Soewardini, M.Pd",(021) 3927013,Baik,B
2.0104574E7,SDN Kampung Bali 07 Pg.,Jl. Kampung Bali 25 No. 13,Tanah Abang,176.0,11.0,"CHAIRUDDIN OESMAN, SPD",(021) 3102416,Baik,B
2.0108574E7,SDN Kampung Melayu 01 Pg.,Jl. Kb. Pala I No. 34,Jatinegara,519.0,21.0,"Hj. Yulia Rosanita, S. Pd. MM",(021) 85908157,Padat/Kumuh,A
2.0108715E7,SDN Kampung Melayu 02 Pt.,Jl. Kb. Pala I No. 34,Jatinegara,448.0,19.0,"Almaida Sidauruk, S.Pd.SD",(021) 8584146,Padat/Kumuh,A
2.0104575E7,SDN Kampung Rawa 01 Pg.,Jl. Rawa Selatan III,Johar Baru,292.0,10.0,"Sri Padwaningsih ,S.Pd, M.si",(021) 42886477,Baik,A
2.0104576E7,SDN Kampung Rawa 02 Pt.,Jl. Rawa Selatan III,Johar Baru,192.0,10.0,YUYU,(021) 4223229,Baik,B
2.0103441E7,SDN Kampung Tengah 01 Pg.,Jl. Inpres No. 64,Kramat Jati,405.0,16.0,"MISRAN EFENDI, S.Pd",(021) 8411212,Baik,A
2.0103468E7,SDN Kampung Tengah 02 Pg.,Jl. Inpres No. 64,Kramat Jati,360.0,20.0,"Dience Nainggolan,S.Pd,M.M",(021) 8410979,Baik,A
2.0103469E7,SDN Kampung Tengah 03 Pg.,Jl. Rantai Perak RT004/RW05,Kramat Jati,218.0,9.0,"SUBIYATI, S.Pd, M.M.",(021) 8005655,Padat/Kumuh,B
2.010347E7,SDN Kampung Tengah 04 Pt.,Jl. Rantai Perak Selatan,Kramat Jati,190.0,10.0,"NINA SUKSESI GANEWATI, S.Pd.I",(021) 8000944,Baik,B
2.0103486E7,SDN Kampung Tengah 05 Pg.,Jl. Pelita,Kramat Jati,211.0,9.0,WILMA,(021) 8414031,Banjir,B
2.0103485E7,SDN Kampung Tengah 06 Pg.,Jl. Haji Ali,Kramat Jati,302.0,14.0,"Sri Ayuni, S.Pd",(021) 8414209,Banjir,A
2.0103484E7,SDN Kampung Tengah 07 Pg.,Jl. Trikora IV,Kramat Jati,273.0,10.0,"Sahadi, S.Ag",(021) 87780867,Baik,A
2.0103483E7,SDN Kampung Tengah 08 Pg.,Jl. Pasar Induk,Kramat Jati,175.0,10.0,"Pahrorodji Sumantri, S. Pd",(021) 8414211,Padat/Kumuh,A
2.0103482E7,SDN Kampung Tengah 09 Pg.,Jl. Haji Ali,Kramat Jati,325.0,13.0,"H. Soyo Haryyanto, S.Pd",(021) 87792750,Baik,A
2.0103481E7,SDN Kampung Tengah 10 Pg.,Jl. Trikora IV,Kramat Jati,185.0,8.0,"Suparjiyah, S.Pd",(021) 8404754,Baik,A
2.010348E7,SDN Kampung Tengah 11 Pg.,Jl. Trikora IV,Kramat Jati,185.0,10.0,"Sahadi, S.Ag",(021) 8407611,Padat/Kumuh,B
2.0105286E7,SDN Kapuk 01 Pg.,Jl. Kapuk Raya No. 48 RT003/RW011,Cengkareng,447.0,14.0,"Hj. NENIH SURYANI, MM",(021) 54399338,Baik,B
2.0105287E7,SDN Kapuk 02 Pg.,"Komp. Cengkareng Indah, Jl. Tenis Raya",Cengkareng,360.0,13.0,"SUKADI, S.Pd",(021) 5458506,Baik,A
2.0105288E7,SDN Kapuk 03 Pg.,Jl. Kapuk Raya No. 48A,Cengkareng,430.0,14.0,"SUNARTA, S. Pd",(021) 54366792,Padat/Kumuh,A
2.0101933E7,SDN Kapuk 04 Pt.,Jl. Komp. Cengkareng Indah,Cengkareng,392.0,12.0,"Lince Sihombing, S.Pd",(021) 54397572,Baik,B
2.0101932E7,SDN Kapuk 05 Pg.,Jl. Kapuk Raya Gg. Mawar,Cengkareng,349.0,12.0,"NURDIESTI, S.Pd",(021) 54374617,Banjir,A
2.0105291E7,SDN Kapuk 06 Pg.,Jl. Tenis Raya,Cengkareng,483.0,15.0,"TITIK HERLIYANI, S.Pd",(021) 54393738,Banjir,A
2.010193E7,SDN Kapuk 07 Pt.,Jl. Tenis Raya,Cengkareng,459.0,13.0,"NENGSIH, S.Pd",(021) 54397611,Baik,B
2.0101929E7,SDN Kapuk 08 Pt.,Jl. Raya Kapuk No. 48A,Cengkareng,471.0,16.0,"Hj. ERMIWIFA,S.Pd",(021) 54391798,Baik,B
2.0105294E7,SDN Kapuk 09 Pg.,Jl. Ukir II Pedongkelan RT005/RW06,Cengkareng,566.0,16.0,"Togummar B. Pasaribu, S.Pd, M.",(021) 54399518,Banjir,A
2.0105295E7,SDN Kapuk 10 Pt.,"Jl. Ukir II Pedongkelan, Kapuk",Cengkareng,511.0,20.0,"Dra. SARITA SIREGAR, M.Pd",(021) 5447635,Banjir,A
2.0105296E7,SDN Kapuk 11 Pg.,"Jl. Ukir, Kapuk",Cengkareng,373.0,11.0,"DARIYATI,S.Pd",(021) 34650171,Banjir,B
